Name EN,Name CN
"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)",杰克龙3
"Gex 3 - Deep Cover Gecko (Europe) (Fr,De)",杰克龙3
Gex 3 - Deep Cover Gecko (USA),杰克龙3
Gex 64 - Enter the Gecko (Europe),杰克龙64
Gex 64 - Enter the Gecko (USA),杰克龙64
Glover (USA) (1998-09-04) (Beta),手套小子
"Glover (USA) (En,Fr,De) (Limited Run Games)",手套小子
"Glover (Europe) (En,Fr,De)",手套小子
Glover (USA),手套小子
Glover (USA) (1998-07-16) (Beta) [b],手套小子
Glover 2 (USA) (Proto 2),手套小子2
Glover 2 (USA) (Proto 1),手套小子2
Goemon - Mononoke Sugoroku (Japan),大盗伍佑卫门-魔法双六
Goemon's Great Adventure (USA),大盗伍佑卫门2
Golden Nugget 64 (USA),职业赌场64
GoldenEye 007 (Europe),007-黄金眼
GoldenEye 007 (Japan),007-黄金眼
GoldenEye 007 (USA),007-黄金眼
"GoldenEye 007 (USA, Europe) (Switch Online)",007-黄金眼
GoldenEye 007 (Japan) (Switch Online),007-黄金眼
"GT 64 - Championship Edition (Europe) (En,Fr,De)",GT64-锦标赛版
GT 64 - Championship Edition (USA),GT64-锦标赛版
GT 64 - Championship Edition (USA) (Beta) (1998-05-25),GT64-锦标赛版
Hamster Monogatari 64 (Japan),仓鼠物语64
Harukanaru Augusta - Masters '98 (Japan),遥远的奥古斯塔-大师赛'98
Harvest Moon 64 (USA),牧场物语64
Heiwa Pachinko World 64 (Japan),平和柏青哥世界64
"Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)",大力士-传奇旅程
Hercules - The Legendary Journeys (USA),大力士-传奇旅程
Hercules - The Legendary Journeys (USA) (Beta 1),大力士-传奇旅程
Hercules - The Legendary Journeys (USA) (Beta 2),大力士-传奇旅程
Hexen (Europe),毁灭巫师
Hexen (France),毁灭巫师
Hexen (Germany),毁灭巫师
Hexen (Japan),毁灭巫师
Hexen (USA),毁灭巫师
"Hey You, Pikachu! (USA)",你好-皮卡丘!
Hiryuu no Ken Twin (Japan),飞龙之拳
Holy Magic Century (Europe),圣魔世纪
Holy Magic Century (France),圣魔世纪
Holy Magic Century (Germany),圣魔世纪
Hoshi no Kirby 64 (Japan),星之卡比64
Hoshi no Kirby 64 (Japan) (Rev 1),星之卡比64
Hoshi no Kirby 64 (Japan) (Rev 2),星之卡比64
Hoshi no Kirby 64 (Japan) (Rev 3),星之卡比64
"Hot Wheels - Turbo Racing (Europe) (En,Fr,De)",风火轮-涡轮赛车
Hot Wheels - Turbo Racing (USA),风火轮-涡轮赛车
HSV Adventure Racing! (Australia),HSV冒险赛车
Human Grand Prix - The New Generation (Japan),休曼GP赛车
"Hybrid Heaven (Europe) (En,Fr,De)",混沌天堂
Hybrid Heaven (Japan),混沌天堂
Hybrid Heaven (USA),混沌天堂
Hydro Thunder (Europe),雷霆快艇
Hydro Thunder (France),雷霆快艇
Hydro Thunder (USA),雷霆快艇
Hydro Thunder (USA) (LodgeNet),雷霆快艇
Hyper Olympics in Nagano 64 (Japan),长野冬季奥运会64
Ide Yosuke no Mahjong Juku (Japan),井出洋介的麻雀塾
Iggy-kun no Bura Bura Poyon (Japan),伊基滚滚球
Iggy's Reckin' Balls (Europe),伊基滚滚球
Iggy's Reckin' Balls (USA),伊基滚滚球
Iggy's Reckin' Balls (USA) (Beta),伊基滚滚球
In-Fisherman - Bass Hunter 64 (Europe),巴斯鲈猎人64
In-Fisherman - Bass Hunter 64 (USA),巴斯鲈猎人64
Indiana Jones and the Infernal Machine (USA),印第安纳琼斯与恶魔机器
Indiana Jones and the Infernal Machine (Australia) (Proto),印第安纳琼斯与恶魔机器
Indy Racing 2000 (USA),印地赛车2000
International Superstar Soccer '98 (Europe),国际超级明星足球'98
International Superstar Soccer '98 (USA),国际超级明星足球'98
International Superstar Soccer '98 (Europe) (Beta) (1998-03-02),国际超级明星足球'98
"International Superstar Soccer 2000 (Europe) (En,De)",国际超级明星足球2000
"International Superstar Soccer 2000 (Europe) (Fr,It)",国际超级明星足球2000
"International Superstar Soccer 2000 (USA) (En,Es)",国际超级明星足球2000
"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1)",国际超级明星足球2000
International Superstar Soccer 64 (Europe),国际超级明星足球64
International Superstar Soccer 64 (USA),国际超级明星足球64
"International Track & Field - Summer Games (Europe) (En,Fr,De)",国际田径-夏季运动会
International Track & Field 2000 (USA),国际田径2000
Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan),系井重里的巴斯鲈钓No.1-决定版
J.League Dynamite Soccer 64 (Japan),J联盟火爆足球64
J.League Eleven Beat 1997 (Japan),Q版J联盟足球1997
J.League Live 64 (Japan),J联盟足球64
J.League Tactics Soccer (Japan),J联盟战术足球
J.League Tactics Soccer (Japan) (Rev 1),J联盟战术足球
Jangou Simulation Mahjong Dou 64 (Japan),雀豪模拟-麻雀道64
Jeopardy! (USA),危险边缘知识问答
Jeremy McGrath Supercross 2000 (Europe),杰里米麦格拉思超级越野摩托赛2000
Jeremy McGrath Supercross 2000 (USA),杰里米麦格拉思超级越野摩托赛2000
Jeremy McGrath Supercross 2000 (USA) (Beta),杰里米麦格拉思超级越野摩托赛2000
"Jet Force Gemini (Europe) (En,Fr,De,Es)",喷射力量-双子星
Jet Force Gemini (USA),喷射力量-双子星
Jet Force Gemini (USA) (Demo) (Kiosk),喷射力量-双子星
Jikkyou G1 Stable (Japan),实况G1赛马
Jikkyou G1 Stable (Japan) (Rev 1),实况G1赛马
Jikkyou J.League 1999 - Perfect Striker 2 (Japan),实况J联盟1999-最佳射手2
Jikkyou J.League 1999 - Perfect Striker 2 (Japan) (Rev 1),实况J联盟1999-最佳射手2
Jikkyou J.League Perfect Striker (Japan),实况J联盟-最佳射手
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan),实况力量棒球基本版2001
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) (Rev 1),实况力量棒球基本版2001
Jikkyou Powerful Pro Yakyuu 2000 (Japan),实况力量棒球2000
Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev 1),实况力量棒球2000
Jikkyou Powerful Pro Yakyuu 4 (Japan),实况力量棒球4
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev 1),实况力量棒球4
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Beta) (1996-11-30),实况力量棒球4
Jikkyou Powerful Pro Yakyuu 5 (Japan),实况力量棒球5
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 2),实况力量棒球5
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 1),实况力量棒球5
Jikkyou Powerful Pro Yakyuu 6 (Japan),实况力量棒球6
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 1),实况力量棒球6
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 2),实况力量棒球6
Jikkyou World Soccer - World Cup France '98 (Japan),实况世界足球-法国世界杯'98
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 1),实况世界足球-法国世界杯'98
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 2),实况世界足球-法国世界杯'98
Jikkyou World Soccer 3 (Japan),实况世界足球3
Jikuu Senshi Turok (Japan),恐龙猎人
Jinsei Game 64 (Japan),人生游戏64
"John Romero's Daikatana (Europe) (En,Fr,De)",大刀
John Romero's Daikatana (Japan),大刀
John Romero's Daikatana (USA),大刀
Kakutou Denshou - F-Cup Maniax (Japan),格斗传承2
Ken Griffey Jr.'s Slugfest (USA),小肯葛瑞菲棒球
Killer Instinct Gold (Europe),杀手本能-黄金版
Killer Instinct Gold (USA),杀手本能-黄金版
Killer Instinct Gold (USA) (Rev 1),杀手本能-黄金版
Killer Instinct Gold (USA) (Rev 2),杀手本能-黄金版
King Hill 64 - Extreme Snowboarding (Japan),雪地滑板王
Kiratto Kaiketsu! 64 Tanteidan (Japan),侦探团64
Kirby 64 - The Crystal Shards (Europe),星之卡比64-水晶碎片
Kirby 64 - The Crystal Shards (USA),星之卡比64-水晶碎片
Kirby 64 - The Crystal Shards (USA) (LodgeNet),星之卡比64-水晶碎片
Knife Edge - Nose Gunner (Europe),刀锋边缘-前机枪手
Knife Edge - Nose Gunner (Japan),刀锋边缘-前机枪手
Knife Edge - Nose Gunner (USA),刀锋边缘-前机枪手
Knockout Kings 2000 (Europe),击倒王2000
Knockout Kings 2000 (USA),击倒王2000
Kobe Bryant in NBA Courtside (Europe),NBA赛场-科比布莱恩特
Kobe Bryant in NBA Courtside (USA),NBA赛场-科比布莱恩特
Last Legion UX (Japan),最终军团UX
"Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es)",塞尔达传说-马祖拉的假面
