Name EN,Name CN
Sega Classics Arcade Collection (USA) (5-in-1),世嘉经典街机游戏合集 - 4合1
"Terminator, The (USA)",终结者
Vay (USA),流星盔甲
Shadowrun (Japan),暗影狂奔
Captain Tsubasa (Japan),天使之翼
3 Ninjas Kick Back (USA),忍杀三人组
Eye of the Beholder (USA),龙与地下城 - 邪恶之眼
A-X-101 (USA) (RE),AX-101
SoulStar (Europe) (Demo),灵魂之星
Pitfall - The Mayan Adventure (Europe) (Demo),探宝奇兵 - 玛雅历险记
WWF - Rage in the Cage (USA),WWF笼中之怒
"World Cup USA '94 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)",世界杯足球USA94
Tomcat Alley (USA) (Alt),雄猫巷
Sol-Feace (USA) (RE2),第五乐章
Sherlock Holmes - Consulting Detective (USA),夏洛克福尔摩斯 - 侦探课程1
Sega Classics Arcade Collection (USA) (4-in-1) (RE),世嘉经典街机游戏合集 - 4合1
Sewer Shark (USA) (Not for Resale) (Alt 1),下水道鲨鱼
Racing Aces (USA),王牌飞行员
Sonic CD (USA) (RE125),索尼克CD
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA),NFL旧金山vs达拉斯1978-1993
Lethal Enforcers (USA) (Alt),致命杀手1
BC Racers (Europe) (Demo) (Green Disc),公元前赛车
Sol-Feace (Europe) (Alt),第五乐章
Mega Schwarzschild (Japan),终极银河战国列传
Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin),海豚历险记1
Ecco the Dolphin CD (Japan) (Disc 2) (Ecco the Dolphin II),海豚历险记1
Robo Aleste (Europe),电忍雅士达
"Terminator, The (Europe)",终结者
"Bloodshot ~ Battle Frenzy (Europe) (En,Fr,De,Es)",战斗狂热
Bouncers (USA),跳跃篮球
Kids on Site (USA),儿童在现场
Mad Dog McCree (USA),疯狗麦基利1
"Slam City with Scottie Pippen (USA, Brazil) (Disc 1) (Fingers) (RE-1)",大满贯城市
"Slam City with Scottie Pippen (USA, Brazil) (Disc 2) (Juice) (RE-1)",大满贯城市
"Slam City with Scottie Pippen (USA, Brazil) (Disc 3) (Mad Dog) (RE-1)",大满贯城市
Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (RE-1),大满贯城市
WireHead (USA),资深玩家
Formula One World Championship - Beyond the Limit (USA),F1方程式赛车世界冠军 - 超越极限
Chuck Rock II - Son of Chuck (USA),呆呆原始人2
Hook (USA),铁钩船长
Jeopardy! (USA),美国名人智力竞答
NBA Jam (USA),NBA嘉年华
Prize Fighter (USA) (Disc 1) (Alt),赏金战士
Sonic CD (USA),索尼克CD
Bram Stoker's Dracula (USA) (Version 2.0),吸血鬼惊情四百年
Mary Shelley's Frankenstein (USA),科学怪人
Ecco - The Tides of Time (USA) (Alt),海豚历险记2 - 时间的潮汐
Lunar - The Silver Star (USA) (RE),露娜 - 银星和声
Road Avenger (USA),公路复仇者
Fahrenheit (USA) (Disc 1) (Key Disc) (Sega CD),幻象杀手
Fahrenheit (USA) (Disc 2) (32X CD),幻象杀手
Sonic CD (USA) (RE125) (Alt 1),索尼克CD
Sewer Shark (USA) (Not for Resale) (Alt 2),下水道鲨鱼
SoulStar (USA),灵魂之星
Lords of Thunder (USA),雷霆之王
Dungeon Explorer (USA),魔洞战记
Lethal Enforcers (Japan),致命杀手1
WonderMega Collection (Japan) (Rev 2),奇妙游戏合集
Might and Magic III - Isles of Terra (Japan),魔法门3 - 幻岛历险记
Dungeon Master II - Skullkeep (Japan),地下城主2 - 骷髅堡
Gen'ei Toshi - Illusion City (Japan),幻影都市
Annett Futatabi (Japan),安妮特归来
Prize Fighter (Japan) (Disc 1),赏金战士
Prize Fighter (Japan) (Disc 2),赏金战士
WWF Mania Tour - WWF - Rage in the Cage (Japan),WWF笼中之怒
Chuck Rock (USA),呆呆原始人
"Secret of Monkey Island, The (USA) (RE)",猴岛小英雄
Lunar - Eternal Blue (Japan) (Rev A),露娜2 - 永恒蔚蓝
"Secret of Monkey Island, The (Japan)",猴岛小英雄
Final Fight CD (Japan) (Rev A),快打旋风CD
Sensible Soccer (Europe) (Demo),冠军足球94
PopfulMail (Japan) (Demo),啵咕物语 - 美少女剑士梅儿
Silpheed (Japan) (Demo),银星战机
Night Trap (Japan) (Demo),午夜陷阱
Silpheed (Japan) (Demo) (Fixed Dump),银星战机
Nobunaga no Yabou - Haouden (Japan),信长之野望 - 霸王传
Daihoushinden (Japan),大封神伝
NBA Jam (Japan),NBA嘉年华
Lethal Enforcers II - The Western (Japan),致命杀手2
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan),世界末日之后外传
Sing!! Sega Game Music Presented by B. B. Queens (Japan),世嘉游戏音乐
Double Switch (Japan),双重转换
"Ninja Warriors, The (Japan)",忍者勇士
Ishii Hisaichi no Daiseikai (Japan),大政界
Tomcat Alley (Japan),雄猫巷
Death Bringer (Japan),死亡使者
Battle Fantasy (Japan) (Rev A),战斗幻想
Alshark (Japan),阿尔沙克
Jurassic Park (Japan),侏罗纪公园
Warau Salesman (Japan),黑色推销员
Record of Lodoss War (Japan) (Demo),蒂德莉特的奇境冒险 - 英雄战争
Battlecorps (Japan),战斗军团
Road Blaster FX (Japan),公路复仇者
Keiou Yuugekitai (Japan) (Demo),庆应游击队
Aisle Lord (Japan),Aisle领主
SimEarth (Japan),模拟地球
Mahou no Shoujo - Silky Lip (Japan),魔法少女
"IIIrd World War, The (Japan)",第三次世界大战
"Arcus I, II, III (Japan)",阿库斯1+2+3
A-Rank Thunder - Tanjou-hen (Japan),A级雷电 - 诞生篇
Bakuden - The Unbalanced Zone (Japan),爆伝 - 不平衡区域
Arslan Senki (Japan),亚尔斯兰战记
Sengoku Denshou (Japan),战国传承
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿 - 元朝秘史
SoulStar (Japan),灵魂之星
Psychic Detective Series Vol. 3 - Aya (Japan),灵魂侦探3 - Aya
Psychic Detective Series Vol. 4 - Orgel (Japan),灵魂侦探4 - Orgel
Fahrenheit (Japan),幻象杀手
Urusei Yatsura - Dear My Friends (Japan) (Demo),福星小子 - 亲爱的朋友
Thunderhawk (Japan) (Demo),AH3雷霆战士
Surgical Strike (Japan),外科手术式打击
WWF - Rage in the Cage (Europe),WWF笼中之怒
Chuck Rock (Europe),呆呆原始人
After Burner III (Europe),冲破火网3
Hook (Europe),铁钩船长
Midnight Raiders (Europe),午夜攻略
"FIFA International Soccer - Championship Edition (Europe) (En,Fr,De,Es)",FIFA国际足球
Novastorm (Europe),诺瓦风暴
Keio Flying Squadron (Europe),庆应游击队
"Software Toolworks' Star Wars Chess, The (Europe)",星球大战国际象棋
Make My Video - Marky Mark and the Funky Bunch (USA),制作我的视频 - Marky Mark and the Funky Bunch
Shining Force CD (Europe),光明力量CD
Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 1),夏洛克福尔摩斯 - 侦探课程2
Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 2),夏洛克福尔摩斯 - 侦探课程2
Microcosm (Europe) (Alt),微观世界
Eternal Champions - Challenge from the Dark Side (Europe),永恒之冠 - 黑暗之挑战
Puggsy (Europe),海岛冒险
Snatcher (Europe),掠夺者
Double Switch (Europe),双重转换
Lethal Enforcers (Europe),致命杀手1
Jaguar XJ220 (USA),捷豹XJ220
"Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE)",凯迪拉克和恐龙 - 第二次大灾难
Surgical Strike (Brazil) (Sega CD 32X),外科手术式打击
"Slam City with Scottie Pippen (USA, Brazil) (Disc 4) (Smash)",大满贯城市
Chuck Rock II - Son of Chuck (Europe),呆呆原始人2
"Theme Park (Europe) (En,Fr,De,Es)",主题公园
"Brutal - Paws of Fury (Europe) (En,Fr,De)",动物武斗传
Dungeon Master II - Skullkeep (Europe),地下城主2 - 骷髅堡
Make My Video - INXS (Europe),制作我的视频 - INXS
NHL Hockey '94 (Europe),北美职业冰球联赛94
Eye of the Beholder (Europe),龙与地下城 - 邪恶之眼
"World Cup USA '94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)",世界杯足球USA94
Battlecorps (Europe) (Demo),战斗军团
"Thunderhawk (Europe) (Demo) (Mega Power, Sega Pro)",AH3雷霆战士
Psygnosis Christmas Sampler (Europe) (Alt),Psygnosis圣诞采样器
FIFA International Soccer - Championship Edition (Europe) (Demo),FIFA国际足球
SoulStar & Battlecorps (Europe) (Demo),灵魂之星与战斗军团
Star Wars - Rebel Assault (Europe) (Demo) (Sega Pro),星球大战 - 叛军突击
Star Wars - Rebel Assault (Europe) (Demo) (Mega Power),星球大战 - 叛军突击
"Mickey Mania (Europe) (Demo) (Mega Power, Sega Pro)",米奇狂想者
Fatal Fury Special (Europe) (Demo),饿狼传说 - 特别版
Novastorm (Europe) (Demo),诺瓦风暴
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers) (Demo),大满贯城市
Flashback (Europe) (Demo),记忆闪回
Keio Flying Squadron (Europe) (Demo),庆应游击队
Wonder Dog (USA) (RE),神奇狗
"Flink (Europe) (En,Fr,De,Es,Nl)",弗林克的不幸历险
Fresh Cleaner (Japan),清洁剂 
