Name EN,Name CN
Momotarou Densetsu Turbo (Japan),桃太郎传说加强版
Momotarou Katsugeki (Japan),桃太郎活剧
Monster Pro Wres (Japan),怪兽摔角
Morita Shougi PC (Japan),森田将棋
Moto Roader (USA),未来赛车
Moto Roader (Japan) (En),未来赛车
Moto Roader II (Japan) (En),未来赛车2
Mr. Heli no Daibouken (Japan),Heli先生
Narazumono Sentou Butai - Bloody Wolf (Japan),血腥风暴
Naxat Open (Japan),Naxat公开赛
Naxat Stadium (Japan),Naxat棒球
Naxat Stadium (Hong Kong) (Ja) (Unl),Naxat棒球
Nazo no Mascarade (Japan),化妆舞会之谜
Necros no Yousai (Japan),尼克罗斯要塞
Nectaris (Japan),太空模拟战
Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan),热血躲避球
Nekketsu Koukou Dodgeball-bu - PC Soccer Hen (Japan),热血足球
Neutopia (USA),世界冒险记
"Neutopia (USA, Europe) (Wii U Virtual Console)",世界冒险记
Neutopia - Frey no Shou (Japan),世界冒险记
Neutopia - Frey no Shou (Japan) (Wii U Virtual Console),世界冒险记
Neutopia II (USA),世界冒险记2
Neutopia II (Japan),世界冒险记2
"Neutopia II (USA, Europe) (Wii U Virtual Console)",世界冒险记2
Neutopia II (Japan) (Wii U Virtual Console),世界冒险记2
New Adventure Island (USA),新冒险岛
"New Adventure Island (USA, Europe) (Wii U Virtual Console)",新冒险岛
"NewZealand Story, The (Japan) (En)",纽西兰故事
NHK Taiga Drama - Taiheiki (Japan),暗夜生物
Night Creatures (USA),暗夜生物
"Ninja Ryuuken Den (Japan) (En,Ja,Zh)",忍者龙剑传
Ninja Spirit (USA),最后的忍道
"Ninja Spirit (USA, Europe) (Wii U Virtual Console)",最后的忍道
"Ninjawarriors, The (Japan)",忍者战士
Obocchama-kun (Japan),少爷历险
Off the Wall (USA) (Proto),弹壁球
Okaasan to Issho - Niko Niko Pun (Japan),树熊历险记
Operation Wolf (Japan),乌兹冲锋枪
Ordyne (Japan),欧坦救美
Ordyne (USA),欧坦救美
Out Live (Japan),疯狂赛车
OutRun (Japan) (En),户外大飙车
Override (Japan) (En),超空战机
P-47 - The Freedom Fighter (Japan) (En),P-47 - 自由战士
Pac-Land (USA),小精灵
Pac-Land (Japan) (En),小精灵
Pachio-kun - Juuban Shoubu (Japan),柏青哥
Paranoia (Japan) (En),异次元战机
Parasol Stars - The Story of Bubble Bobble III (Japan) (En),彩虹岛
Parasol Stars - The Story of Bubble Bobble III (USA),彩虹岛
Parodius Da! - Shinwa kara Owarai e (Japan) (En),疯狂大射击
PC Denjin - Punkic Cyborgs (Japan),PC电人
PC Denjin - Punkic Cyborgs (Japan) (Beta),PC电人
PC Denjin - Punkic Cyborgs (Japan) (Wii U Virtual Console),PC电人
PC Genjin - Pithecanthropus Computerurus (Japan),PC原人
PC Genjin - Pithecanthropus Computerurus (Japan) (Wii U Virtual Console),PC原人
PC Genjin 2 - Pithecanthropus Computerurus (Japan),PC原人2
PC Genjin 2 - Pithecanthropus Computerurus (Japan) (Wii Virtual Console),PC原人2
PC Genjin 2 - Pithecanthropus Computerurus (Japan) (Wii U Virtual Console),PC原人2
PC Genjin 3 - Pithecanthropus Computerurus (Japan),PC原人3
PC Genjin 3 - Pithecanthropus Computerurus (Japan) (Sample),PC原人3
PC Genjin 3 - Pithecanthropus Computerurus (Japan) (Wii U Virtual Console),PC原人3
PC Pachi-Slot - Idol Gambler (Japan) (Unl),水果盘
Populous (Japan) (En),都市计画
Power Drift (Japan) (En),超级赛车
Power Eleven (Japan),超级足球
Power Gate (Japan),超级高尔夫-狭路
Power Golf (USA),超级高尔夫
Power Golf (Japan) (En),超级高尔夫
Power League (Japan),超级棒球联盟
Power League '93 (Japan),超级棒球联盟'93
Power League 4 (Japan),超级棒球联盟4
Power League 5 (Japan),超级棒球联盟5
Power League II (Japan),超级棒球联盟2
