EN Name,CN Name
Hikari Shinwa - Palthena no Kagami (Japan) (Rev 1),光之神话
Hikari Shinwa - Palthena no Kagami (Japan),光之神话
Hikari Shinwa - Palthena no Kagami (Japan) (Rev 1) (Virtual Console),光之神话
Hikaru Genji - Roller Panic (Japan),光GENJI冒险
I Am a Teacher - Super Mario no Sweater (Japan),手工教学 - 马里奥毛衣
I Am a Teacher - Teami no Kiso (Japan),手工教学 - 编织基础篇
Ice Climber (Japan) (Disk Writer),敲冰块
Ice Hockey (Japan),冰球
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 10),中山美穗高校冒险
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 4),中山美穗高校冒险
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 6),中山美穗高校冒险
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 13) (Disk Writer),中山美穗高校冒险
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 11) (Disk Writer),中山美穗高校冒险
Igo - Kyuu Roban Taikyoku (Japan),围棋
Ishidou (Japan) (Disk Writer),石道
Jikai Shounen Met Mag (Japan),磁界少年
Jingorou (Japan) (Unl),甚五郎 - 图形编辑器
Kaettekita Mario Bros. (Japan) (Disk Writer),水管工马里奥兄弟
Kalin no Tsurugi (Japan),卡林之剑
Kamen Rider Black - Taiketsu Shadow Moon (Japan),假面超人BLACK
Karate Champ (Japan),空手道
Kattobi! Douji (Japan),棒球童儿
Kick and Run (Japan),跑动射门
Kick Challenger - Air Foot - Yasai no Kuni no Ashi Senshi (Japan),蕃茄战记
Kieta Princess (Japan),失踪的公主
Kiki Kaikai - Dotou Hen (Japan) (Rev 1) (Disk Writer),奇奇怪界
Kiki Kaikai - Dotou Hen (Japan),奇奇怪界
Kind Gal's (Japan) (Disk 1) (Unl),善良女孩
Kind Gal's (Japan) (Disk 2) (Unl),善良女孩
Kinnikuman - Kinnikusei Oui Soudatsusen (Japan),筋肉人 - 王位争夺战
Kinnikuman - Kinnikusei Oui Soudatsusen (Japan) (Rev 1) (Disk Writer),筋肉人 - 王位争夺战
Knight Lore - Majou no Ookami Otoko (Japan),魔城之狼
Knight Move (Japan),飞马棋
Knight Move (Japan) (Rev 1) (Disk Writer),飞马棋
Kobayashi Hitomi no Hold Up (Japan) (Unl),美女拼图 - 水枪
Kobayashi Hitomi Shocking Tennis (Japan) (Unl),小林瞳惊爆网球
Konamic Ice Hockey (Japan),冰上曲棍球
Konamic Tennis (Japan),科乐美网球
Konamic Tennis (Japan) (Beta) (1986-10-22),科乐美网球
Koneko Monogatari - The Adventures of Chatran (Japan),子猫物语
Koneko Monogatari - The Adventures of Chatran (Japan) (Sample) (1986-07-03),子猫物语
Kosodate Gokko (Japan) (Unl),子育素子
Link no Bouken - The Legend of Zelda 2 (Japan),塞尔达传说2 - 林克的冒险
Link no Bouken - The Legend of Zelda 2 (Japan) (Rev 1),塞尔达传说2 - 林克的冒险
Link no Bouken - The Legend of Zelda 2 (Japan) (Rev 1) (Collector's Edition),塞尔达传说2 - 林克的冒险
Link no Bouken - The Legend of Zelda 2 (Japan) (Rev 1) (Wii and Wii U Virtual Console),塞尔达传说2 - 林克的冒险
Lipstick #1 - Lolita Hen (Japan) (Unl),美女拼图1
Lipstick #2 - Joshi Gakusei Hen (Japan) (Unl),美女拼图2
Lipstick #3 - OL Hen (Japan) (Unl),美女拼图3
Lipstick #4 - Hakui no Tenshi Hen (Japan) (Unl),美女拼图4
Lipstick #5 - Stewardess Hen (Japan) (Unl),美女拼图5
Lutter (Japan) (Disk Writer),鲁特迷宫
Madou Senki - Deep Dungeon (Japan),深入地底
Madou Senki - Deep Dungeon (Japan) (Rev 1),深入地底
Maerchen Veil (Japan),威尔童话
Magma Project - Hacker (Japan),岩浆计划
Mahjong (Japan),麻将
Mahjong Goraku - Bishoujo Meijinsen (Japan) (Unl),娱乐麻将 - 美少女名人战
Mahjong Kazoku (Japan),麻将家族
Matou no Houkai - The Hero of Babel (Japan),魔塔之崩坏
Meikyuu Jiin Dababa (Japan),迷宫寺院
Metroid (Japan) (Rev 1),银河战士
Metroid (Japan) (Rev 2),银河战士
Metroid (Japan) (Rev 3),银河战士
Metroid (Japan) (Rev 3) (Wii and Wii U Virtual Console),银河战士
Metroid (Japan) (Rev 3) (3DS Virtual Console),银河战士
Michael English Daibouken (Japan) (Sample) (1987-03-25),迈克尔英语大冒险
Michael English Daibouken (Japan),迈克尔英语大冒险
Moero TwinBee - Cinnamon Hakase wo Sukue! (Japan) (Rev 1),兵蜂2
Moero TwinBee - Cinnamon Hakase wo Sukue! (Japan),兵蜂2
"Money Game, The (Japan) (Proto)",金钱游戏
"Monitor Puzzle Kineko, The - Kinetic Connection (Japan)",拼图
"Monitor Puzzle Kineko, The - Kinetic Connection (Japan) (Rev 1) (Possible Proto)",拼图
"Monitor Puzzle Kineko, The - Kinetic Connection II (Japan) (Disk Writer)",拼图2
Monty on the Run - Monty no Doki Doki Dai Dassou (Japan),大脱走
Moonball Magic (Japan) (Disk Writer),弹珠台大战
Namida no Soukoban Special (Japan),泪之仓库番
Nankin no Adventure (Japan) (Disk Writer),南京君大冒险
Nazo no Kabe - Block Kuzushi (Japan),谜之壁
Nazo no Murasamejou (Japan),谜之村雨城
Nazo no Murasamejou (Japan) (GameCube),谜之村雨城
Nazo no Murasamejou (Japan) (Wii and Wii U Virtual Console),谜之村雨城
Nazo no Murasamejou (World) (Ja) (3DS Virtual Console),谜之村雨城
Nazoler Land - Dainigou (Japan),磁碟杂志2
Nazoler Land - Daisangou (Japan),磁碟杂志3
Nazoler Land - Soukangou (Japan),磁碟杂志 - 创刊号
Nazoler Land Special!! - Quiz Ou wo Sagase (Japan),磁碟杂志特别篇
Neunzehn - 19 (Japan),19战略
Nomura no Famicom Trade (Japan) (Proto) (FTAJ),野村证券股市交易程序
Nomura no Famicom Trade (Japan) (Proto) (FTEJ),野村证券股市交易程序
Nomura no Famicom Trade (Japan) (Proto) (FTBJ),野村证券股市交易程序
Omoikkiri Tanteidan HaadoGumi - Matenrou no Chousenjou (Japan),超人侦探团霸恶怒组 - 魔天郎的挑战
Othello (Japan) (DV 2),奥赛罗棋
"Othello (Japan) (DV 3, 5) (Disk Writer)",奥赛罗棋
Otocky (Japan),作曲家
Otocky (Japan) (Beta) (1986-04-15),作曲家
Pac-Man (Japan) (Disk Writer),吃豆人
Pachicom (Japan) (Disk Writer),柏青哥
Pachinko Grand Prix (Japan),柏青哥 - 国际大赛
Patlabor - The Mobile Police - Daini Shoutai Shutsudou seyo! (Japan) (Disk Writer),机动警察
Pinball (Japan) (Disk Writer),弹珠台
Pro Golfer Saru - Kage no Tournament (Japan),高尔夫之猿
Pro Wres (Japan) (En),超级明星摔角决斗场
Professional Mahjong Gokuu (Japan),麻将悟空
Pulsar no Hikari - Space Wars Simulation (Japan),希望之光
Putt Putt Golf (Japan),趣味高尔夫
Puzzle Boys (Japan) (Disk Writer),解迷男孩
Quick Hunter (Japan) (Unl),极速猎人
Quick Hunter - Parameter Disk Vol.1 (Japan) (Unl),极速猎人 - 数据碟1
Radical Bomber!! Jirai-kun (Japan) (Disk Writer),地雷君
Reflect World (Japan),反射世界
Relics - Ankoku Yousai (Japan),暗黑要塞
Replicart (Japan),贪食龙
Risa no Yousei Densetsu (Japan),利莎的妖精传说
Roger Rabbit (Japan),罗杰兔
Sailor Fuku Bishoujo Zukan Vol. 1 (Japan) (Unl),美少女图鉴1
Sailor Fuku Bishoujo Zukan Vol. 2 (Japan) (Unl),美少女图鉴2
Sailor Fuku Bishoujo Zukan Vol. 3 (Japan) (Unl),美少女图鉴3
