EN Name,[TBD] Name
Heavy Boxing (Japan) (Alt 1),
Heavy Boxing (Japan),
Helitank (Japan),
Heroes of the Lance (Japan),长枪英雄
Higemaru Makai Shima - Nanatsu no Shima Daibouken (Japan),魔界岛-七岛大冒险
High School! Kimengumi (Japan),高校奇面组
High Way Star (Japan),
High Way Star (Korea),
Hinotori - Houou Hen (Japan) (Alt 2),火之鸟-凤凰篇
Hinotori - Houou Hen (Japan) (Alt),火之鸟-凤凰篇
Hinotori - Houou Hen (Japan),火之鸟-凤凰篇
Hisya (Japan),
Hitsuji Yai - Preety Sheep (Japan),
Hole in One (Japan) (Alt 1),
Hole in One (Japan) (Alt 2),
Hole in One (Japan) (Alt 3),
Hole in One (Japan),
Hole in One Professional (Japan) (Alt 1),
Hole in One Professional (Japan),
Hole in One Special (Japan) (Alt),一杆高尔夫-特别版
Hole in One Special (Japan),一杆高尔夫-特别版
Home Calc (Japan) (Program),
Home Writer (Japan) (Program),
Honkball (Japan),
Hopper (Europe),
Hudson 3D Golf (Japan) (Alt 1),
Hudson 3D Golf (Japan),
Hustle! Chumy (Japan) (Alt 1),
Hustle! Chumy (Japan),
Hydlide (Japan),
Hydlide 3 - The Space Memories (Japan),
Hydlide 3 - The Space Memories (Japan),梦幻仙境3-记忆空间
Hydlide II - Shine of Darkness (Japan) (Alt 1),
Hydlide II - Shine of Darkness (Japan),
Hyper Olympic 1 (Japan),
Hyper Olympic 2 (Japan),
Hyper Rally (Japan) (Alt 1),
Hyper Rally (Japan) (Alt 2),
Hyper Rally (Japan) (Alt 3),
Hyper Rally (Japan),
Hyper Sports 1 (Japan) (Alt 1),
Hyper Sports 1 (Japan),
Hyper Sports 2 (Japan),
Hyper Sports 3 (Japan) (Alt 1),
Hyper Sports 3 (Japan) (Alt 2),
Hyper Sports 3 (Japan),
Ice World (Japan),
Ide Yousuke Meijin no Jissen Mahjong (Japan),井出洋介实战麻雀
Iga Ninpouten - Small Ninja (Japan),
Iga Ninpouten 2 - Small Ninja 2 (Japan),
Ikari (Japan) (Alt),怒
Ikari (Japan),怒
Indian no Bouken (Japan),
Inemuriryuu Asada Tetsuya no A-kyuu Mahjong (Japan),阿位田哲也的A级麻将
Inindou - Datou Nobunaga (Japan),伊忍道-打倒信长
Iriegas (Japan),
Iriegas - Theseus (Japan) (Alt 1),
Iriegas - Theseus (Japan),
Ishin no Arashi (Japan),维新之岚
Issunhoushi No Donnamondai (Japan) (Alt 1),
Issunhoushi No Donnamondai (Japan),
J.P. Winkle (Japan),
Jagur (Japan) (Alt 1),
Jagur (Japan),
Janka (Japan),
Jansei (Japan) (Alt),雀圣
Jansei (Japan),雀圣
Japanese MSX-Write (Japan) (Program),
Japanese MSX-Write II (Japan) (Program),日语写字板2
Jet Set Willy (Japan) (Alt 1),
Jet Set Willy (Japan),
Jigsaw Set (Japan),
Jissen - 4-nin Mahjong (Japan),
Jisyo Data (Japan) (Program),
Joytelop (Japan) (Program),
Jump (Japan),
Jump Coaster (Japan),
Jump Land (Japan),
Jumping Rabbit (Japan),
Juno First (Japan) (Alt 1),
Juno First (Japan),
Jyan Friend (Japan),
Jyankyo (Japan),
Jyanyuu (Japan),
Kakikukekon (Japan) (Program),
Karamaru (Japan),
Karuizawa (Japan),
Kempelen Chess (Japan),坎比林国际象棋
Keystone Kapers (Japan) (Alt 1),
Keystone Kapers (Japan),
Kick It (Japan) (Alt 1),
Kick It (Japan),
Kiki Kaikai (Japan),奇奇怪界
Kinasai (Japan) (Unl),
King & Balloon (Japan) (Alt 1),
King & Balloon (Japan),
King Knight (Japan) (Alt 1),
King Knight (Japan) (Alt 2),
King Knight (Japan),
King Kong 2 - Yomigaeru Densetsu (Japan),金刚2-苏生传说
Kinnikuman - Muscle Man (Japan) (Alt 1),
Kinnikuman - Muscle Man (Japan),
Kisei (Japan),棋圣
Kitahei (Japan),棋太平
Knight Lore (Japan),
Knightmare - Majou Densetsu (Japan) (Alt 1),
Knightmare - Majou Densetsu (Japan) (Alt 2),
Knightmare - Majou Densetsu (Japan),
Knightmare II - The Maze of Galious (Japan),
Knightmare III - Shalom (Japan),
Knither Special (Japan),
Konami's Baseball (Japan) (Alt 1),
Konami's Baseball (Japan),
Konami's Billiards (Europe),
Konami's Boxing (Japan) (Alt 1),
Konami's Boxing (Japan) (Alt 2),
Konami's Boxing (Japan),
Konami's Football (Europe) (Alt 1),
Konami's Football (Europe) (Alt 2),
Konami's Football (Europe),
Konami's Golf (Japan) (Alt 1),
Konami's Golf (Japan) (Alt 2),
Konami's Golf (Japan),
Konami's Mahjong (Japan),
Konami's Ping-Pong (Japan) (Alt 1),
Konami's Ping-Pong (Japan) (Alt 2),
Konami's Ping-Pong (Japan) (Alt 3),
Konami's Ping-Pong (Japan),
Konami's Soccer (Japan) (Alt 1),
Konami's Soccer (Japan) (Alt 2),
Konami's Soccer (Japan) (Alt 3),
Konami's Soccer (Japan),
Konami's Synthesizer (Japan) (Program),
Konami's Tennis (Japan) (Alt 1),
Konami's Tennis (Japan),
Koneko no Daibouken - Catboy (Japan),
Koronis Rift (Europe),卡洛尼斯裂痕
Kung Fu Acho (Japan) (Alt 1),
Kung Fu Acho (Japan),
Kung Fu Master (Japan) (Alt 1),
Kung Fu Master (Japan) (Alt 2),
Kung Fu Master (Japan),
Kung Fu Taigun (Japan) (Alt 1),
Kung Fu Taigun (Japan),
