Name EN,Name CN
"Tenchu - Time of the Assassins (Europe) (En,Fr,De,Es,It)",天诛-忍大全
Namco Museum Battle Collection (Asia),南梦宫博物馆-战斗合集
Harry Potter and the Order of the Phoenix (USA),哈利波特与凤凰社
"Ace Combat X - Skies of Deception (Japan) (En,Ja,Fr,De,Es,It,Ko) (v2.00)",皇牌空战X-诡影苍穹
Phantasy Star Portable (Japan),梦幻之星-携带版
"Star Wars - The Force Unleashed (Europe) (En,Es,It)",星球大战-原力释放
"LEGO Batman - The Videogame (USA) (En,Fr,Es)",乐高蝙蝠侠
N Plus (USA),N+
"Grand Theft Auto - Liberty City Stories (USA) (En,Fr,De,Es,It) (v1.05)",侠盗猎车-自由城的故事
Disgaea - Afternoon of Darkness (USA),魔界战记-携带版
Twisted Metal - Head-On (USA),扭曲金属赛车-勇往直前
SNK Arcade Classics Vol. 1 (USA),SNK经典街机游戏合集1
"Nogizaka Haruka no Himitsu - Cosplay, Hajimemashita - Himitsu no Radio (Japan)",乃木坂春香的秘密-开始COSPLAY秘密电台
Disgaea - Afternoon of Darkness (Asia),魔界战记-携带版
Dragoneer's Aria (Asia),龙骑士的咏叹调
"God of War - Chains of Olympus (Europe, Australia) (En,Fr,De,Es,It)",战神-奥林匹斯之链
Tony Hawk's Underground 2 Remix (USA),托尼霍克地下滑板2-复刻版
Star Ocean - First Departure (Europe),星之海洋-初次启航
"Lara Croft Tomb Raider - Anniversary (Europe) (En,Fr,De,Es,It)",古墓丽影-10周年纪念版
"SSX on Tour (Europe) (En,Fr,De)",极限滑雪
Darkstalkers Chronicle - The Chaos Tower (Europe),恶魔战士编年史-浑沌之塔
"Wipeout Pure (Japan) (En,Ja)",反重力赛车
"Wipeout Pure (USA) (En,Fr,Es) (v1.04)",反重力赛车
"Wipeout Pulse (USA) (En,Fr,De,Es,It)",反重力赛车2-脉搏
"Wipeout Pure (USA) (En,Fr,Es) (v2.00)",反重力赛车
"Echochrome (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Demo)",无限回廊
"Wipeout Pulse (Europe) (En,Fr,De,Es,It) (Beta) (v0.07) (2007-08-31)",反重力赛车2-脉搏
"PaRappa the Rapper (Japan, Asia) (En,Ja)",啪啦啪啦啪
"Midnight Club 3 - DUB Edition (Europe) (En,Fr,De,Es,It)",湾岸午夜俱乐部3-DUB版
"Ace Combat X - Skies of Deception (USA) (En,Ja,Fr,De,Es,It,Ko)",皇牌空战X-诡影苍穹
"Gangs of London (USA) (En,Fr,Es) (Demo)",伦敦黑帮
"Gundam Battle Royale (Japan, Asia)",高达-大混战
Killzone - Liberation (USA) (Demo),杀戮地带-解放行动
Lemmings (USA) (Demo),疯狂小旅鼠
"Wipeout Pulse (Europe) (En,Fr,De,Es,It) (Beta) (v0.02) (2007-05-31)",反重力赛车2-脉搏
Prinny - Can I Really Be the Hero (USA),普利尼-俺当主角行吗
Gundam Battle Tactics (Japan),高达-策略战
Macross Ace Frontier (Japan) (v1.02),超时空要塞-王牌边界
"Midnight Club - L.A. Remix (Europe) (En,Fr,De,Es,It)",湾岸午夜俱乐部4-洛杉矶-复刻版
"Echochrome (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Ru)",无限回廊
Monster Hunter Freedom 2 (Asia),怪物猎人2-携带版
"Ultimate Board Game Collection (Asia) (En,Fr,De,Es,It)",终极桌面游戏合集
"World Tour Soccer (USA) (En,Fr,De,Es)",世界足球巡回赛
Hayate no Gotoku!! Nightmare Paradise (Japan),旋风管家-噩梦天国
"Prince of Persia - Revelations (Europe) (En,Fr,De,Es,It)",波斯王子-武者之心
"FIFA Soccer 09 (USA) (En,Es)",FIFA足球2009
Rengoku - The Tower of Purgatory (USA),炼狱-洗罪塔
Need for Speed - Underground Rivals (USA),极品飞车-地下狂飙
PQ - Practical Intelligence Quotient (USA),智能执照
"Sega Mega Drive Collection (Europe) (En,Fr,De,Es,It)",世嘉MegaDrive经典游戏合集
"Need for Speed - Undercover (Europe) (En,Fr,De,Es,It,Nl,Pl,Ru,Cs,Hu)",极品飞车-无间风云
"World Tour Soccer (Europe) (En,Fr,De,Es,It)",世界足球巡回赛
Yarudora Portable - Sampaguita (Asia),互动剧场-茉莉花
